field,variant,measure,lambda_top_bits,free_top_bits,free_sum_bits,conditional_sum_bits,rms_final_1024,qr_free_sum_bits,qr_free_top_bits
0,free,8192,0.6500524327381375,0.6500524327381375,4.349491246144577,4.349491246144577,0.3643584738089158,4.349491246144583,0.6500524327381355
0,fixed1_095,8192,0.6494028634482939,0.6500524327381375,4.349491246144577,0.027563151257234964,0.3413346740555483,4.349491246144583,0.6500524327381355
0,rotate1_095,8192,0.1646325898823153,0.6500524327381375,4.349491246144577,0.027563151257234964,0.18605579799596866,4.349491246144583,0.6500524327381355
0,rotate1_0999,8192,0.05845362405877796,0.6500524327381375,4.349491246144577,-5.616293038515746,0.09655532698908664,4.349491246144583,0.6500524327381355
0,fixed4_095,8192,0.5887297262396446,0.6500524327381375,4.349491246144577,-12.938221133404792,0.24255338191847445,4.349491246144583,0.6500524327381355
0,alternate4_095,8192,-1.447139896948426,0.6500524327381375,4.349491246144577,-12.938221133404792,0.0,4.349491246144583,0.6500524327381355
0,all8_075_control,8192,-1.349947567261869,0.6500524327381375,4.349491246144577,-11.650508753855423,0.0,4.349491246144583,0.6500524327381355
1,free,8192,0.6870593770217461,0.6870593770217461,4.718876594076782,4.718876594076782,0.37452631473068515,4.71887659407679,0.6870593770217462
1,fixed1_095,8192,0.6855428593569141,0.6870593770217461,4.718876594076782,0.3969484991894401,0.3558333486572067,4.71887659407679,0.6870593770217462
1,rotate1_095,8192,0.17862664893002111,0.6870593770217461,4.718876594076782,0.3969484991894401,0.1971443629602491,4.71887659407679,0.6870593770217462
1,rotate1_0999,8192,-0.007238138410274051,0.6870593770217461,4.718876594076782,-5.246907690583541,8.129268373181895e-12,4.71887659407679,0.6870593770217462
1,fixed4_095,8192,0.6453328386188186,0.6870593770217461,4.718876594076782,-12.568835785472587,0.2691502893850166,4.71887659407679,0.6870593770217462
1,alternate4_095,8192,-1.4315751225500633,0.6870593770217461,4.718876594076782,-12.568835785472587,0.0,4.71887659407679,0.6870593770217462
1,all8_075_control,8192,-1.312940622978256,0.6870593770217461,4.718876594076782,-11.281123405923218,0.0,4.71887659407679,0.6870593770217462
2,free,8192,0.6574366221104827,0.6574366221104827,4.429057327930137,4.429057327930137,0.36728372788507524,4.429057327930127,0.6574366221105016
2,fixed1_095,8192,0.6547777195965597,0.6574366221104827,4.429057327930137,0.10712923304279443,0.3434089668062203,4.429057327930127,0.6574366221105016
2,rotate1_095,8192,0.16196319642328622,0.6574366221104827,4.429057327930137,0.10712923304279443,0.19280941145360914,4.429057327930127,0.6574366221105016
2,rotate1_0999,8192,0.02090127508739448,0.6574366221104827,4.429057327930137,-5.5367269567301864,0.05937326581755891,4.429057327930127,0.6574366221105016
2,fixed4_095,8192,0.6073219127782541,0.6574366221104827,4.429057327930137,-12.858655051619232,0.24590930085908227,4.429057327930127,0.6574366221105016
2,alternate4_095,8192,-1.4514665759982095,0.6574366221104827,4.429057327930137,-12.858655051619232,0.0,4.429057327930127,0.6574366221105016
2,all8_075_control,8192,-1.342563377889537,0.6574366221104827,4.429057327930137,-11.570942672069863,0.0,4.429057327930127,0.6574366221105016
3,free,8192,0.6593089294625066,0.6593089294625066,4.456625991088278,4.456625991088278,0.36881643176483475,4.456625991088284,0.6593089294624668
3,fixed1_095,8192,0.6565832729923686,0.6593089294625066,4.456625991088278,0.13469789620093575,0.3397223305414242,4.456625991088284,0.6593089294624668
3,rotate1_095,8192,0.17365985578737322,0.6593089294625066,4.456625991088278,0.13469789620093575,0.18700602758924734,4.456625991088284,0.6593089294624668
3,rotate1_0999,8192,0.04540772222136163,0.6593089294625066,4.456625991088278,-5.509158293572045,0.08845914136837789,4.456625991088284,0.6593089294624668
