variant,fields,lambda_min,lambda_median,lambda_max,rms_median,rms_max,stable,sum_positive
free,32,0.6149207817973461,0.7140652348897829,0.8600902331956207,0.3973532274296973,0.4346412907252614,0,32
fixed1_095,32,0.6110106079446255,0.7063791951454919,0.8600629883594243,0.3668909139349993,0.4069020398393263,0,31
rotate1_095,32,0.14094349206047474,0.19475722982269938,0.32256615786716614,0.21126257115312463,0.25407759444269234,0,31
rotate1_0999,32,-0.40577178581332995,-0.0012747211065392487,0.08571357393606002,0.002019628522453236,0.10942959651171863,16,0
fixed4_095,32,0.5726425628163612,0.6725242021601394,0.8565737493717871,0.2738768436391575,0.30903185572885494,0,0
alternate4_095,32,-1.4800503906172593,-1.412773569842447,-1.2945420384067643,0.0,0.0,32,0
all8_075_control,32,-1.3850792182026563,-1.2859347651306048,-1.1399097668043754,0.0,0.0,32,0
