variant,fields,lambda_min,lambda_median,lambda_max,rms_median,rms_max,stable,sum_positive
free,32,0.6159952939168576,0.7136008112644947,0.8615027422262488,0.3957014127409606,0.44014624497773086,0,32
fixed1_095,32,0.6094205045142143,0.7041577144110935,0.8614979572240274,0.36518790750321684,0.4083522387301281,0,31
rotate1_095,32,0.13945467017478305,0.19545218933347408,0.324373771906285,0.20836786620587922,0.2541038420095654,0,31
rotate1_0999,32,-0.4044434962808868,-0.0027568303893770662,0.08716409177736184,2.5761330421994534e-11,0.13319528048051005,16,0
fixed4_095,32,0.5716394267989652,0.670624683835981,0.8587042691785662,0.27623846672850316,0.30728613354641243,0,0
alternate4_095,32,-1.4788187451867154,-1.4134975184383154,-1.2937058823838672,0.0,0.0,32,0
all8_075_control,32,-1.384004706083155,-1.286399188745698,-1.1384972577737473,0.0,0.0,32,0
